user,text,favorite_count,retweet_count,created_at
AlJazeera,https://t.co/9uLRtPVKpp,366467,45256,2025-05-12 12:54:40+00:00
AlJazeera,https://t.co/1Y5vg9zbEx,212281,29228,2025-05-12 12:54:25+00:00
AlJazeera,https://t.co/ifaRjPPHvv,334380,42187,2025-05-11 22:52:27+00:00
AlJazeera,https://t.co/lRPhZpugBV,1022571,127101,2025-05-10 12:03:09+00:00
AlJazeera,"Today, I signed an Executive Order to launch the first-ever self-deportation program. Illegal aliens who stay in America face punishments, including—sudden deportation, in a place and manner solely of our discretion. TO ALL ILLEGAL ALIENS: BOOK YOUR FREE FLIGHT RIGHT NOW! https://t.co/LO4eyfhZOq",485629,74951,2025-05-10 01:04:06+00:00
AlJazeera,🇺🇸🇬🇧 https://t.co/rGKLly0JtS,295195,35746,2025-05-09 02:40:11+00:00
AlJazeera,https://t.co/0sUAawNN8S,99459,19030,2025-05-08 16:40:16+00:00
AlJazeera,RT @nypost: Democratic Rep. Jasmine Crockett accused of ‘abusing her power’ at airport after she cut passengers in wheelchairs https://t.co…,0,4299,2025-05-08 09:36:52+00:00
AlJazeera,https://t.co/44glnqT0VM,218584,30091,2025-05-07 02:38:22+00:00
AlJazeera,https://t.co/JgZKhj4K1Z,61256,11543,2025-05-05 17:41:13+00:00
AlJazeera,"This was so wonderful, 9 years ago today! https://t.co/1jDZHObj5T",375648,31969,2025-05-05 15:54:40+00:00
AlJazeera,https://t.co/EejkjieL01,156579,25712,2025-05-05 14:28:01+00:00
AlJazeera,https://t.co/dZONBuFjpB,129579,21781,2025-05-05 14:23:22+00:00
AlJazeera,"The Democrats are really out of control. They have lost everything, especially their minds! These Radical Left Lunatics are into the “Impeachment thing” again. They have already got two “No Name,” little respected Congressmen, total Whackjobs both, throwing the “Impeachment” of",215639,36494,2025-05-05 14:21:01+00:00
AlJazeera,"REBUILD, AND OPEN ALCATRAZ! For too long, America has been plagued by vicious, violent, and repeat Criminal Offenders, the dregs of society, who will never contribute anything other than Misery and Suffering. When we were a more serious Nation, in times past, we did not hesitate https://t.co/u1jOCMXeW5",259839,42005,2025-05-05 14:17:15+00:00
AlJazeera,https://t.co/omDhYkn2PN,242090,29205,2025-05-05 14:16:22+00:00
AlJazeera,https://t.co/IDaLzWW3H5,181632,34409,2025-05-02 02:07:46+00:00
AlJazeera,https://t.co/30CHzvOXUY,182175,41381,2025-05-02 02:07:30+00:00
AlJazeera,"Join me tomorrow, April 29th—in Warren, Michigan at 6:00PM Eastern! https://t.co/TptdFccVat",117059,22257,2025-04-28 14:28:08+00:00
AlJazeera,RT @johnrich: A conversation about online child predators with Homeland Security and John Rich: PLS Repost! https://t.co/zChy4K5HQU,0,10581,2025-04-23 23:55:53+00:00
AlJazeera,"Sleepy Joe Biden, THE WORST PRESIDENT IN THE HISTORY OF THE UNITED STATES, has allowed millions and millions of Criminals, many of them murderers, drug dealers, and people released from prisons and mental institutions from all around the world, to enter our Country through it’s",391371,57022,2025-04-18 22:30:07+00:00
